loca_regi_kant_label,noga_chg1,noga_chg1_pp,noga_chg2,noga_chg2_pp,noga_chg3,noga_chg3_pp,noga_chg4,noga_chg4_pp,noga_chg5,noga_chg5_pp
LU,Transportation and storage,-11.266179879027833,Wholesale and retail trade; repair of motor vehicles,7.589463910506071,Construction,6.612820159617247,"Professional, scientific and technical activities",6.056596664045355,Manufacturing,-2.6725570846839686
NE,"Professional, scientific and technical activities",-17.83833714887221,Wholesale and retail trade; repair of motor vehicles,12.578029360494156,Manufacturing,5.76776428466661,Public administration and defence; compulsory social security,3.3691259444463926,Accommodation and food service activities,-2.3359155465769144
NW,Manufacturing,17.217680380974045,Financial and insurance activities,-12.537760882205099,"Professional, scientific and technical activities",-11.177723957013265,Accommodation and food service activities,8.003525611423347,Public administration and defence; compulsory social security,-3.5285740725937043
OW,Construction,-12.325654486320003,Manufacturing,10.06761999327908,Wholesale and retail trade; repair of motor vehicles,-4.83644037081508,Human health and social work activities,4.266191576893501,Transportation and storage,-3.891985891826316
SG,Wholesale and retail trade; repair of motor vehicles,-4.71049604437119,Human health and social work activities,4.291787336279189,Accommodation and food service activities,2.808519327706499,Construction,-2.622131902837249,Information and communication,1.58454941426205
SH,Manufacturing,-21.243534279341418,Other service activities,7.6537328916986755,Transportation and storage,5.076490899219116,Financial and insurance activities,-3.731660087587148,Wholesale and retail trade; repair of motor vehicles,3.5502622081058948
SO,Human health and social work activities,6.92859931287026,Accommodation and food service activities,4.122302825967496,Construction,-3.422265774482057,"Professional, scientific and technical activities",3.152658113886955,Wholesale and retail trade; repair of motor vehicles,-2.8968068209950766
SZ,Construction,-17.491856847673105,Wholesale and retail trade; repair of motor vehicles,17.232060516583108,Accommodation and food service activities,-14.046968585338536,Education,12.544898106604263,Manufacturing,4.675563882468489
TG,"Electricity, gas, water supply; sewerage, waste management",12.814231852746314,Accommodation and food service activities,-3.9459896620162462,Construction,3.794498721280384,"Agriculture, forestry, fishing and mining",-3.4316727424681828,Administrative and support service activities,-3.0234544868352033
TI,Construction,-9.956028489510524,Human health and social work activities,8.297131674677876,Administrative and support service activities,7.5237790758741045,Accommodation and food service activities,-6.381947285935971,Activities of extraterritorial organisations,-6.214486592418144
UR,Accommodation and food service activities,18.63790490471095,Construction,-9.963752427305364,Education,-9.456726668230068,Transportation and storage,-3.7317819552231466,Wholesale and retail trade; repair of motor vehicles,3.671967736836179
Unknown,Manufacturing,6.712931268434231,Wholesale and retail trade; repair of motor vehicles,-4.510028742976854,"Professional, scientific and technical activities",-4.416128077563478,Accommodation and food service activities,-4.339231621794715,Construction,-3.191321203793471
VD,Wholesale and retail trade; repair of motor vehicles,-9.423611299160859,Human health and social work activities,8.59763661727904,Information and communication,5.243770322699616,Other service activities,-4.417692253128614,Public administration and defence; compulsory social security,2.35356370588857
VS,Wholesale and retail trade; repair of motor vehicles,19.699198742888708,Construction,-19.120488853553574,Accommodation and food service activities,-8.603526664508474,Education,5.385145530579949,Public administration and defence; compulsory social security,-5.134368423025499
ZG,Financial and insurance activities,6.324368065552208,Information and communication,-4.92311796135886,Manufacturing,-4.375723958968897,Human health and social work activities,3.579570239245461,Transportation and storage,2.584097070177875
ZH,Human health and social work activities,4.463041563295301,Manufacturing,2.427558339076667,Activities of extraterritorial organisations,-2.105604276135554,Transportation and storage,-2.0245023426221302,Construction,-1.8733890507558373
